Time,Queue 0,Queue 1,Queue 2,Queue 3,Queue Fin,Demand Queue,Machine 0 Busy,Machine 1 Busy,Machine 2 Busy,Machine 3 Busy,Machine 0 TimeRemaining,Machine 1 TimeRemaining,Machine 2 TimeRemaining,Machine 3 TimeRemaining,Action M0,Action M1,Action M2,Action M3
0,164,0,0,0,8,0,1,0,0,0,16,0,0,0,True,False,False,False
1,164,0,0,0,8,0,1,0,0,0,15,0,0,0,False,False,False,False
2,164,0,0,0,8,0,1,0,0,0,14,0,0,0,False,False,False,False
3,164,0,0,0,8,0,1,0,0,0,13,0,0,0,False,False,False,False
4,164,0,0,0,8,0,1,0,0,0,12,0,0,0,False,False,False,False
5,164,0,0,0,8,0,1,0,0,0,11,0,0,0,False,False,False,False
6,164,0,0,0,8,0,1,0,0,0,10,0,0,0,False,False,False,False
7,164,0,0,0,8,0,1,0,0,0,9,0,0,0,False,False,False,False
8,164,0,0,0,8,0,1,0,0,0,8,0,0,0,False,False,False,False
9,164,0,0,0,8,0,1,0,0,0,7,0,0,0,False,False,False,False
10,164,0,0,0,8,0,1,0,0,0,6,0,0,0,False,False,False,False
11,164,0,0,0,8,0,1,0,0,0,5,0,0,0,False,False,False,False
12,164,0,0,0,8,0,1,0,0,0,4,0,0,0,False,False,False,False
13,164,0,0,0,8,0,1,0,0,0,3,0,0,0,False,False,False,False
14,164,0,0,0,8,0,1,0,0,0,2,0,0,0,False,False,False,False
15,164,0,0,0,8,0,1,0,0,0,1,0,0,0,False,False,False,False
16,164,4,0,0,8,0,0,0,0,0,0,0,0,0,False,False,False,False
17,160,3,0,0,8,0,1,1,0,0,16,2,0,0,True,True,False,False
18,160,3,0,0,8,0,1,1,0,0,15,1,0,0,False,False,False,False
19,160,3,1,0,8,0,1,0,0,0,14,0,0,0,False,False,False,False
20,160,2,1,0,8,0,1,1,0,0,13,2,0,0,False,True,False,False
21,160,2,1,0,8,0,1,1,0,0,12,1,0,0,False,False,False,False
22,160,2,2,0,8,0,1,0,0,0,11,0,0,0,False,False,False,False
23,160,1,2,0,8,0,1,1,0,0,10,2,0,0,False,True,False,False
24,160,1,2,0,8,0,1,1,0,0,9,1,0,0,False,False,False,False
25,160,1,3,0,8,0,1,0,0,0,8,0,0,0,False,False,False,False
26,160,0,3,0,8,0,1,1,0,0,7,2,0,0,False,True,False,False
27,160,0,3,0,8,0,1,1,0,0,6,1,0,0,False,False,False,False
28,160,0,4,0,8,0,1,0,0,0,5,0,0,0,False,False,False,False
29,160,0,0,0,8,0,1,0,1,0,4,0,16,0,False,False,True,False
30,160,0,0,0,8,0,1,0,1,0,3,0,15,0,False,False,False,False
31,160,0,0,0,8,0,1,0,1,0,2,0,14,0,False,False,False,False
32,160,0,0,0,8,0,1,0,1,0,1,0,13,0,False,False,False,False
33,160,4,0,0,8,0,0,0,1,0,0,0,12,0,False,False,False,False
34,156,3,0,0,8,0,1,1,1,0,16,2,11,0,True,True,False,False
35,156,3,0,0,8,0,1,1,1,0,15,1,10,0,False,False,False,False
36,156,3,1,0,8,0,1,0,1,0,14,0,9,0,False,False,False,False
37,156,2,1,0,8,0,1,1,1,0,13,2,8,0,False,True,False,False
38,156,2,1,0,8,0,1,1,1,0,12,1,7,0,False,False,False,False
39,156,2,2,0,8,0,1,0,1,0,11,0,6,0,False,False,False,False
40,156,1,2,0,8,0,1,1,1,0,10,2,5,0,False,True,False,False
41,156,1,2,0,8,0,1,1,1,0,9,1,4,0,False,False,False,False
42,156,1,3,0,8,0,1,0,1,0,8,0,3,0,False,False,False,False
43,156,0,3,0,8,0,1,1,1,0,7,2,2,0,False,True,False,False
44,156,0,3,0,8,0,1,1,1,0,6,1,1,0,False,False,False,False
45,156,0,4,4,8,0,1,0,0,0,5,0,0,0,False,False,False,False
46,156,0,0,3,8,0,1,0,1,1,4,0,16,2,False,False,True,True
47,156,0,0,3,8,0,1,0,1,1,3,0,15,1,False,False,False,False
48,156,0,0,3,9,0,1,0,1,0,2,0,14,0,False,False,False,False
49,156,0,0,2,9,0,1,0,1,1,1,0,13,2,False,False,False,True
50,156,4,0,2,9,0,0,0,1,1,0,0,12,1,False,False,False,False
51,152,3,0,2,10,0,1,1,1,0,16,2,11,0,True,True,False,False
52,152,3,0,1,10,0,1,1,1,1,15,1,10,2,False,False,False,True
53,152,3,1,1,10,0,1,0,1,1,14,0,9,1,False,False,False,False
54,152,2,1,1,11,0,1,1,1,0,13,2,8,0,False,True,False,False
55,152,2,1,0,11,0,1,1,1,1,12,1,7,2,False,False,False,True
56,152,2,2,0,11,0,1,0,1,1,11,0,6,1,False,False,False,False
57,152,1,2,0,12,0,1,1,1,0,10,2,5,0,False,True,False,False
58,152,1,2,0,12,0,1,1,1,0,9,1,4,0,False,False,False,False
59,152,1,3,0,12,0,1,0,1,0,8,0,3,0,False,False,False,False
60,152,0,3,0,12,0,1,1,1,0,7,2,2,0,False,True,False,False
61,152,0,3,0,12,0,1,1,1,0,6,1,1,0,False,False,False,False
62,152,0,4,4,12,0,1,0,0,0,5,0,0,0,False,False,False,False
63,152,0,0,3,12,0,1,0,1,1,4,0,16,2,False,False,True,True
64,152,0,0,3,12,0,1,0,1,1,3,0,15,1,False,False,False,False
65,152,0,0,3,13,0,1,0,1,0,2,0,14,0,False,False,False,False
66,152,0,0,2,13,0,1,0,1,1,1,0,13,2,False,False,False,True
67,152,4,0,2,13,0,0,0,1,1,0,0,12,1,False,False,False,False
68,148,3,0,2,14,0,1,1,1,0,16,2,11,0,True,True,False,False
69,148,3,0,1,14,0,1,1,1,1,15,1,10,2,False,False,False,True
70,148,3,1,1,14,0,1,0,1,1,14,0,9,1,False,False,False,False
71,148,2,1,1,15,0,1,1,1,0,13,2,8,0,False,True,False,False
72,148,2,1,0,15,0,1,1,1,1,12,1,7,2,False,False,False,True
73,148,2,2,0,15,0,1,0,1,1,11,0,6,1,False,False,False,False
74,148,1,2,0,16,0,1,1,1,0,10,2,5,0,False,True,False,False
75,148,1,2,0,16,0,1,1,1,0,9,1,4,0,False,False,False,False
76,148,1,3,0,16,0,1,0,1,0,8,0,3,0,False,False,False,False
77,148,0,3,0,16,0,1,1,1,0,7,2,2,0,False,True,False,False
78,148,0,3,0,16,0,1,1,1,0,6,1,1,0,False,False,False,False
79,148,0,4,4,16,0,1,0,0,0,5,0,0,0,False,False,False,False
80,148,0,0,3,16,0,1,0,1,1,4,0,16,2,False,False,True,True
81,148,0,0,3,16,0,1,0,1,1,3,0,15,1,False,False,False,False
82,148,0,0,3,17,0,1,0,1,0,2,0,14,0,False,False,False,False
83,148,0,0,2,17,0,1,0,1,1,1,0,13,2,False,False,False,True
84,148,4,0,2,17,0,0,0,1,1,0,0,12,1,False,False,False,False
85,144,3,0,2,18,0,1,1,1,0,16,2,11,0,True,True,False,False
86,144,3,0,1,18,0,1,1,1,1,15,1,10,2,False,False,False,True
87,144,3,1,1,18,0,1,0,1,1,14,0,9,1,False,False,False,False
88,144,2,1,1,19,0,1,1,1,0,13,2,8,0,False,True,False,False
89,144,2,1,0,19,0,1,1,1,1,12,1,7,2,False,False,False,True
90,144,2,2,0,19,0,1,0,1,1,11,0,6,1,False,False,False,False
91,144,1,2,0,20,0,1,1,1,0,10,2,5,0,False,True,False,False
92,144,1,2,0,20,0,1,1,1,0,9,1,4,0,False,False,False,False
93,144,1,3,0,20,0,1,0,1,0,8,0,3,0,False,False,False,False
94,144,0,3,0,20,0,1,1,1,0,7,2,2,0,False,True,False,False
95,144,0,3,0,20,0,1,1,1,0,6,1,1,0,False,False,False,False
96,144,0,4,4,20,154,1,0,0,0,5,0,0,0,False,False,False,False
97,144,0,0,3,20,154,1,0,1,1,4,0,16,2,False,False,True,True
98,144,0,0,3,20,154,1,0,1,1,3,0,15,1,False,False,False,False
99,144,0,0,3,20,153,1,0,1,0,2,0,14,0,False,False,False,False
100,144,0,0,2,20,153,1,0,1,1,1,0,13,2,False,False,False,True
101,144,4,0,2,20,153,0,0,1,1,0,0,12,1,False,False,False,False
102,140,3,0,2,20,152,1,1,1,0,16,2,11,0,True,True,False,False
103,140,3,0,1,20,152,1,1,1,1,15,1,10,2,False,False,False,True
104,140,3,1,1,20,152,1,0,1,1,14,0,9,1,False,False,False,False
105,140,2,1,1,20,151,1,1,1,0,13,2,8,0,False,True,False,False
106,140,2,1,0,20,151,1,1,1,1,12,1,7,2,False,False,False,True
107,140,2,2,0,20,151,1,0,1,1,11,0,6,1,False,False,False,False
108,140,1,2,0,20,150,1,1,1,0,10,2,5,0,False,True,False,False
109,140,1,2,0,20,150,1,1,1,0,9,1,4,0,False,False,False,False
110,140,1,3,0,20,150,1,0,1,0,8,0,3,0,False,False,False,False
111,140,0,3,0,20,150,1,1,1,0,7,2,2,0,False,True,False,False
112,140,0,3,0,20,150,1,1,1,0,6,1,1,0,False,False,False,False
113,140,0,4,4,20,150,1,0,0,0,5,0,0,0,False,False,False,False
114,140,0,0,3,20,150,1,0,1,1,4,0,16,2,False,False,True,True
115,140,0,0,3,20,150,1,0,1,1,3,0,15,1,False,False,False,False
116,140,0,0,3,20,149,1,0,1,0,2,0,14,0,False,False,False,False
117,140,0,0,2,20,149,1,0,1,1,1,0,13,2,False,False,False,True
118,140,4,0,2,20,149,0,0,1,1,0,0,12,1,False,False,False,False
119,136,3,0,2,20,148,1,1,1,0,16,2,11,0,True,True,False,False
120,136,3,0,1,20,148,1,1,1,1,15,1,10,2,False,False,False,True
121,136,3,1,1,20,148,1,0,1,1,14,0,9,1,False,False,False,False
122,136,2,1,1,20,147,1,1,1,0,13,2,8,0,False,True,False,False
123,136,2,1,0,20,147,1,1,1,1,12,1,7,2,False,False,False,True
124,136,2,2,0,20,147,1,0,1,1,11,0,6,1,False,False,False,False
125,136,1,2,0,20,146,1,1,1,0,10,2,5,0,False,True,False,False
126,136,1,2,0,20,146,1,1,1,0,9,1,4,0,False,False,False,False
127,136,1,3,0,20,146,1,0,1,0,8,0,3,0,False,False,False,False
128,136,0,3,0,20,146,1,1,1,0,7,2,2,0,False,True,False,False
129,136,0,3,0,20,146,1,1,1,0,6,1,1,0,False,False,False,False
130,136,0,4,4,20,146,1,0,0,0,5,0,0,0,False,False,False,False
131,136,0,0,3,20,146,1,0,1,1,4,0,16,2,False,False,True,True
132,136,0,0,3,20,146,1,0,1,1,3,0,15,1,False,False,False,False
133,136,0,0,3,20,145,1,0,1,0,2,0,14,0,False,False,False,False
134,136,0,0,2,20,145,1,0,1,1,1,0,13,2,False,False,False,True
135,136,4,0,2,20,145,0,0,1,1,0,0,12,1,False,False,False,False
136,132,3,0,2,20,144,1,1,1,0,16,2,11,0,True,True,False,False
137,132,3,0,1,20,144,1,1,1,1,15,1,10,2,False,False,False,True
138,132,3,1,1,20,144,1,0,1,1,14,0,9,1,False,False,False,False
139,132,2,1,1,20,143,1,1,1,0,13,2,8,0,False,True,False,False
140,132,2,1,0,20,143,1,1,1,1,12,1,7,2,False,False,False,True
141,132,2,2,0,20,143,1,0,1,1,11,0,6,1,False,False,False,False
142,132,1,2,0,20,142,1,1,1,0,10,2,5,0,False,True,False,False
143,132,1,2,0,20,142,1,1,1,0,9,1,4,0,False,False,False,False
144,132,1,3,0,20,142,1,0,1,0,8,0,3,0,False,False,False,False
145,132,0,3,0,20,142,1,1,1,0,7,2,2,0,False,True,False,False
146,132,0,3,0,20,142,1,1,1,0,6,1,1,0,False,False,False,False
147,132,0,4,4,20,142,1,0,0,0,5,0,0,0,False,False,False,False
148,132,0,0,3,20,142,1,0,1,1,4,0,16,2,False,False,True,True
149,132,0,0,3,20,142,1,0,1,1,3,0,15,1,False,False,False,False
150,132,0,0,3,20,141,1,0,1,0,2,0,14,0,False,False,False,False
